ClientName,NetAssets,EstablishedTime,Region,NumberOfFunds,service,flag
Invesco,749860.85,1946,EUR,393,FXServices,N
Invesco,749860.85,1946,EUR,393,FinancingCollateralServices,Y
TIAA Investments,533650.24,1952,EUR,88,InvestmentServicing,Y
TIAA Investments,533650.24,1952,EUR,88,Custody,N
TIAA Investments,533650.24,1952,EUR,88,ETFSolutionsCost,N
TIAA Investments,533650.24,1952,EUR,88,FundAccounting,Y
TIAA Investments,533650.24,1952,EUR,88,RiskAnalytics,N
TIAA Investments,533650.24,1952,EUR,88,MultiAssetClassAnalytics,N
TIAA Investments,533650.24,1952,EUR,88,DigitalExperience,Y
TIAA Investments,533650.24,1952,EUR,88,PortfolioSolutions,Y
TIAA Investments,533650.24,1952,EUR,88,FXServices,N
TIAA Investments,533650.24,1952,EUR,88,FinancingCollateralServices,Y
Franklin Templeton,521531.67,1948,US,287,InvestmentServicing,Y
Franklin Templeton,521531.67,1948,US,287,Custody,N
Franklin Templeton,521531.67,1948,US,287,ETFSolutionsCost,N
Franklin Templeton,521531.67,1948,US,287,FundAccounting,Y
Franklin Templeton,521531.67,1948,US,287,RiskAnalytics,N
Franklin Templeton,521531.67,1948,US,287,MultiAssetClassAnalytics,N
Franklin Templeton,521531.67,1948,US,287,DigitalExperience,Y
Franklin Templeton,521531.67,1948,US,287,PortfolioSolutions,Y
Franklin Templeton,521531.67,1948,US,287,FXServices,N
Franklin Templeton,521531.67,1948,US,287,FinancingCollateralServices,Y
Goldman Sachs,521061.98,1988,EUR,128,InvestmentServicing,Y
Goldman Sachs,521061.98,1988,EUR,128,Custody,N
Goldman Sachs,521061.98,1988,EUR,128,ETFSolutionsCost,N
Goldman Sachs,521061.98,1988,EUR,128,FundAccounting,Y
Goldman Sachs,521061.98,1988,EUR,128,RiskAnalytics,N
Goldman Sachs,521061.98,1988,EUR,128,MultiAssetClassAnalytics,N
Goldman Sachs,521061.98,1988,EUR,128,DigitalExperience,Y
Goldman Sachs,521061.98,1988,EUR,128,PortfolioSolutions,Y
Goldman Sachs,521061.98,1988,EUR,128,FXServices,N
Goldman Sachs,521061.98,1988,EUR,128,FinancingCollateralServices,Y
Dimensional Fund Advisors,489438.29,1981,EUR,127,InvestmentServicing,Y
Dimensional Fund Advisors,489438.29,1981,EUR,127,Custody,N
Dimensional Fund Advisors,489438.29,1981,EUR,127,ETFSolutionsCost,N
Dimensional Fund Advisors,489438.29,1981,EUR,127,FundAccounting,Y
Dimensional Fund Advisors,489438.29,1981,EUR,127,RiskAnalytics,N
Dimensional Fund Advisors,489438.29,1981,EUR,127,MultiAssetClassAnalytics,N
Dimensional Fund Advisors,489438.29,1981,EUR,127,DigitalExperience,Y
Dimensional Fund Advisors,489438.29,1981,EUR,127,PortfolioSolutions,Y
Dimensional Fund Advisors,489438.29,1981,EUR,127,FXServices,N
Dimensional Fund Advisors,489438.29,1981,EUR,127,FinancingCollateralServices,Y
PIMCO,419931.88,1987,EUR,135,InvestmentServicing,Y
PIMCO,419931.88,1987,EUR,135,Custody,N
PIMCO,419931.88,1987,EUR,135,ETFSolutionsCost,N
PIMCO,419931.88,1987,EUR,135,FundAccounting,Y
PIMCO,419931.88,1987,EUR,135,RiskAnalytics,N
PIMCO,419931.88,1987,EUR,135,MultiAssetClassAnalytics,N
PIMCO,419931.88,1987,EUR,135,DigitalExperience,Y
PIMCO,419931.88,1987,EUR,135,PortfolioSolutions,Y
PIMCO,419931.88,1987,EUR,135,FXServices,N
PIMCO,419931.88,1987,EUR,135,FinancingCollateralServices,Y
MFS,388230.02,1924,US,99,InvestmentServicing,Y
MFS,388230.02,1924,US,99,Custody,N
MFS,388230.02,1924,US,99,ETFSolutionsCost,N
MFS,388230.02,1924,US,99,FundAccounting,Y
MFS,388230.02,1924,US,99,RiskAnalytics,N
MFS,388230.02,1924,US,99,MultiAssetClassAnalytics,N
MFS,388230.02,1924,US,99,DigitalExperience,Y
MFS,388230.02,1924,US,99,PortfolioSolutions,Y
MFS,388230.02,1924,US,99,FXServices,N
MFS,388230.02,1924,US,99,FinancingCollateralServices,Y
Federated,352719.34,1968,EUR,89,InvestmentServicing,Y
Federated,352719.34,1968,EUR,89,Custody,N
Federated,352719.34,1968,EUR,89,ETFSolutionsCost,N
Federated,352719.34,1968,EUR,89,FundAccounting,Y
Federated,352719.34,1968,EUR,89,RiskAnalytics,N
Federated,352719.34,1968,EUR,89,MultiAssetClassAnalytics,Y
Federated,352719.34,1968,EUR,89,DigitalExperience,Y
Federated,352719.34,1968,EUR,89,PortfolioSolutions,N
Federated,352719.34,1968,EUR,89,FXServices,N
Federated,352719.34,1968,EUR,89,FinancingCollateralServices,Y
Morgan Stanley,332468.13,1981,EUR,79,InvestmentServicing,Y
Morgan Stanley,332468.13,1981,EUR,79,Custody,N
Morgan Stanley,332468.13,1981,EUR,79,ETFSolutionsCost,N
Morgan Stanley,332468.13,1981,EUR,79,FundAccounting,Y
Morgan Stanley,332468.13,1981,EUR,79,RiskAnalytics,N
Morgan Stanley,332468.13,1981,EUR,79,MultiAssetClassAnalytics,Y
Morgan Stanley,332468.13,1981,EUR,79,DigitalExperience,Y
Morgan Stanley,332468.13,1981,EUR,79,PortfolioSolutions,N
Morgan Stanley,332468.13,1981,EUR,79,FXServices,N
Morgan Stanley,332468.13,1981,EUR,79,FinancingCollateralServices,Y
Charles Schwab,299000.81,1990,EUR,72,InvestmentServicing,Y
Charles Schwab,299000.81,1990,EUR,72,Custody,N
Charles Schwab,299000.81,1990,EUR,72,ETFSolutionsCost,N
Charles Schwab,299000.81,1990,EUR,72,FundAccounting,Y
Charles Schwab,299000.81,1990,EUR,72,RiskAnalytics,N
Charles Schwab,299000.81,1990,EUR,72,MultiAssetClassAnalytics,Y
Charles Schwab,299000.81,1990,EUR,72,DigitalExperience,Y
Charles Schwab,299000.81,1990,EUR,72,PortfolioSolutions,N
Charles Schwab,299000.81,1990,EUR,72,FXServices,N
Charles Schwab,299000.81,1990,EUR,72,FinancingCollateralServices,Y
Schwab ETFs,257114.89,2009,US,27,InvestmentServicing,Y
Schwab ETFs,257114.89,2009,US,27,Custody,N
Schwab ETFs,257114.89,2009,US,27,ETFSolutionsCost,N
Schwab ETFs,257114.89,2009,US,27,FundAccounting,Y
Schwab ETFs,257114.89,2009,US,27,RiskAnalytics,N
Schwab ETFs,257114.89,2009,US,27,MultiAssetClassAnalytics,Y
Schwab ETFs,257114.89,2009,US,27,DigitalExperience,Y
Schwab ETFs,257114.89,2009,US,27,PortfolioSolutions,N
Schwab ETFs,257114.89,2009,US,27,FXServices,N
Schwab ETFs,257114.89,2009,US,27,FinancingCollateralServices,Y
Allspring Global Investments,247478.97,1968,EUR,106,InvestmentServicing,Y
Allspring Global Investments,247478.97,1968,EUR,106,Custody,N
Allspring Global Investments,247478.97,1968,EUR,106,ETFSolutionsCost,N
Allspring Global Investments,247478.97,1968,EUR,106,FundAccounting,Y
Allspring Global Investments,247478.97,1968,EUR,106,RiskAnalytics,N
Allspring Global Investments,247478.97,1968,EUR,106,MultiAssetClassAnalytics,Y
Allspring Global Investments,247478.97,1968,EUR,106,DigitalExperience,Y
Allspring Global Investments,247478.97,1968,EUR,106,PortfolioSolutions,N
Allspring Global Investments,247478.97,1968,EUR,106,FXServices,N
Allspring Global Investments,247478.97,1968,EUR,106,FinancingCollateralServices,Y
Dreyfus,233957.7,1982,EUR,14,InvestmentServicing,Y
Dreyfus,233957.7,1982,EUR,14,Custody,N
Dreyfus,233957.7,1982,EUR,14,ETFSolutionsCost,N
Dreyfus,233957.7,1982,EUR,14,FundAccounting,Y
Dreyfus,233957.7,1982,EUR,14,RiskAnalytics,N
Dreyfus,233957.7,1982,EUR,14,MultiAssetClassAnalytics,Y
Dreyfus,233957.7,1982,EUR,14,DigitalExperience,Y
Dreyfus,233957.7,1982,EUR,14,PortfolioSolutions,N
Dreyfus,233957.7,1982,EUR,14,FXServices,N
Dreyfus,233957.7,1982,EUR,14,FinancingCollateralServices,Y
Dodge & Cox,228930.29,1931,EUR,7,InvestmentServicing,Y
Dodge & Cox,228930.29,1931,EUR,7,Custody,N
Dodge & Cox,228930.29,1931,EUR,7,ETFSolutionsCost,N
Dodge & Cox,228930.29,1931,EUR,7,FundAccounting,Y
Dodge & Cox,228930.29,1931,EUR,7,RiskAnalytics,N
Dodge & Cox,228930.29,1931,EUR,7,MultiAssetClassAnalytics,Y
Dodge & Cox,228930.29,1931,EUR,7,DigitalExperience,Y
Dodge & Cox,228930.29,1931,EUR,7,PortfolioSolutions,N
Dodge & Cox,228930.29,1931,EUR,7,FXServices,N
Dodge & Cox,228930.29,1931,EUR,7,FinancingCollateralServices,Y
John Hancock,226276.98,1971,EUR,157,InvestmentServicing,Y
John Hancock,226276.98,1971,EUR,157,Custody,N
John Hancock,226276.98,1971,EUR,157,ETFSolutionsCost,N
John Hancock,226276.98,1971,EUR,157,FundAccounting,Y
John Hancock,226276.98,1971,EUR,157,RiskAnalytics,N
John Hancock,226276.98,1971,EUR,157,MultiAssetClassAnalytics,Y
John Hancock,226276.98,1971,EUR,157,DigitalExperience,Y
John Hancock,226276.98,1971,EUR,157,PortfolioSolutions,N
John Hancock,226276.98,1971,EUR,157,FXServices,N
John Hancock,226276.98,1971,EUR,157,FinancingCollateralServices,Y
Northern Funds,213076.96,1985,US,44,InvestmentServicing,N
Northern Funds,213076.96,1985,US,44,Custody,N
Northern Funds,213076.96,1985,US,44,ETFSolutionsCost,N
Northern Funds,213076.96,1985,US,44,FundAccounting,N
Northern Funds,213076.96,1985,US,44,RiskAnalytics,Y
Northern Funds,213076.96,1985,US,44,MultiAssetClassAnalytics,Y
Northern Funds,213076.96,1985,US,44,DigitalExperience,Y
Northern Funds,213076.96,1985,US,44,PortfolioSolutions,Y
Northern Funds,213076.96,1985,US,44,FXServices,Y
Northern Funds,213076.96,1985,US,44,FinancingCollateralServices,Y
Columbia Threadneedle,209497.57,1929,EUR,120,InvestmentServicing,N
Columbia Threadneedle,209497.57,1929,EUR,120,Custody,N
Columbia Threadneedle,209497.57,1929,EUR,120,ETFSolutionsCost,N
Columbia Threadneedle,209497.57,1929,EUR,120,FundAccounting,N
Columbia Threadneedle,209497.57,1929,EUR,120,RiskAnalytics,Y
Columbia Threadneedle,209497.57,1929,EUR,120,MultiAssetClassAnalytics,Y
Columbia Threadneedle,209497.57,1929,EUR,120,DigitalExperience,Y
Columbia Threadneedle,209497.57,1929,EUR,120,PortfolioSolutions,Y
Columbia Threadneedle,209497.57,1929,EUR,120,FXServices,Y
Columbia Threadneedle,209497.57,1929,EUR,120,FinancingCollateralServices,Y
Principal Funds,188905.71,1939,US,93,InvestmentServicing,N
Principal Funds,188905.71,1939,US,93,Custody,N
Principal Funds,188905.71,1939,US,93,ETFSolutionsCost,N
Principal Funds,188905.71,1939,US,93,FundAccounting,N
Principal Funds,188905.71,1939,US,93,RiskAnalytics,Y
Principal Funds,188905.71,1939,US,93,MultiAssetClassAnalytics,Y
Principal Funds,188905.71,1939,US,93,DigitalExperience,Y
Principal Funds,188905.71,1939,US,93,PortfolioSolutions,Y
Principal Funds,188905.71,1939,US,93,FXServices,Y
Principal Funds,188905.71,1939,US,93,FinancingCollateralServices,Y
Lord Abbett,171678.87,1950,EUR,54,InvestmentServicing,N
Lord Abbett,171678.87,1950,EUR,54,Custody,N
Lord Abbett,171678.87,1950,EUR,54,ETFSolutionsCost,N
Lord Abbett,171678.87,1950,EUR,54,FundAccounting,N
Lord Abbett,171678.87,1950,EUR,54,RiskAnalytics,N
Lord Abbett,171678.87,1950,EUR,54,MultiAssetClassAnalytics,Y
Lord Abbett,171678.87,1950,EUR,54,DigitalExperience,Y
Lord Abbett,171678.87,1950,EUR,54,PortfolioSolutions,Y
Lord Abbett,171678.87,1950,EUR,54,FXServices,Y
Lord Abbett,171678.87,1950,EUR,54,FinancingCollateralServices,Y
Janus,161318.81,1985,US,59,InvestmentServicing,N
Janus,161318.81,1985,US,59,Custody,N
Janus,161318.81,1985,US,59,ETFSolutionsCost,N
Janus,161318.81,1985,US,59,FundAccounting,N
Janus,161318.81,1985,US,59,RiskAnalytics,N
Janus,161318.81,1985,US,59,MultiAssetClassAnalytics,Y
Janus,161318.81,1985,US,59,DigitalExperience,Y
Janus,161318.81,1985,US,59,PortfolioSolutions,Y
Janus,161318.81,1985,US,59,FXServices,Y
Janus,161318.81,1985,US,59,FinancingCollateralServices,Y
American Century Investments,158423.13,1971,EUR,112,InvestmentServicing,N
American Century Investments,158423.13,1971,EUR,112,Custody,N
American Century Investments,158423.13,1971,EUR,112,ETFSolutionsCost,N
American Century Investments,158423.13,1971,EUR,112,FundAccounting,N
American Century Investments,158423.13,1971,EUR,112,RiskAnalytics,N
American Century Investments,158423.13,1971,EUR,112,MultiAssetClassAnalytics,Y
American Century Investments,158423.13,1971,EUR,112,DigitalExperience,Y
American Century Investments,158423.13,1971,EUR,112,PortfolioSolutions,Y
American Century Investments,158423.13,1971,EUR,112,FXServices,Y
American Century Investments,158423.13,1971,EUR,112,FinancingCollateralServices,Y
First Trust,145625.08,2003,EUR,215,InvestmentServicing,N
First Trust,145625.08,2003,EUR,215,Custody,N
First Trust,145625.08,2003,EUR,215,ETFSolutionsCost,N
First Trust,145625.08,2003,EUR,215,FundAccounting,N
First Trust,145625.08,2003,EUR,215,RiskAnalytics,N
First Trust,145625.08,2003,EUR,215,MultiAssetClassAnalytics,Y
First Trust,145625.08,2003,EUR,215,DigitalExperience,Y
First Trust,145625.08,2003,EUR,215,PortfolioSolutions,Y
First Trust,145625.08,2003,EUR,215,FXServices,Y
First Trust,145625.08,2003,EUR,215,FinancingCollateralServices,Y
Prudential,145539.41,1976,EUR,90,InvestmentServicing,N
Prudential,145539.41,1976,EUR,90,Custody,N
Prudential,145539.41,1976,EUR,90,ETFSolutionsCost,N
Prudential,145539.41,1976,EUR,90,FundAccounting,N
Prudential,145539.41,1976,EUR,90,RiskAnalytics,N
Prudential,145539.41,1976,EUR,90,MultiAssetClassAnalytics,Y
Prudential,145539.41,1976,EUR,90,DigitalExperience,Y
Prudential,145539.41,1976,EUR,90,PortfolioSolutions,Y
Prudential,145539.41,1976,EUR,90,FXServices,Y
Prudential,145539.41,1976,EUR,90,FinancingCollateralServices,Y
Natixis Investment Managers,141245.94,1931,EUR,74,InvestmentServicing,Y
Natixis Investment Managers,141245.94,1931,EUR,74,Custody,Y
Natixis Investment Managers,141245.94,1931,EUR,74,ETFSolutionsCost,N
Natixis Investment Managers,141245.94,1931,EUR,74,FundAccounting,Y
Natixis Investment Managers,141245.94,1931,EUR,74,RiskAnalytics,N
Natixis Investment Managers,141245.94,1931,EUR,74,MultiAssetClassAnalytics,Y
Natixis Investment Managers,141245.94,1931,EUR,74,DigitalExperience,N
Natixis Investment Managers,141245.94,1931,EUR,74,PortfolioSolutions,N
Natixis Investment Managers,141245.94,1931,EUR,74,FXServices,N
Natixis Investment Managers,141245.94,1931,EUR,74,FinancingCollateralServices,N
Hartford,138508.53,1977,US,77,InvestmentServicing,Y
Hartford,138508.53,1977,US,77,Custody,Y
Hartford,138508.53,1977,US,77,ETFSolutionsCost,N
Hartford,138508.53,1977,US,77,FundAccounting,Y
Hartford,138508.53,1977,US,77,RiskAnalytics,N
Hartford,138508.53,1977,US,77,MultiAssetClassAnalytics,Y
Hartford,138508.53,1977,US,77,DigitalExperience,N
Hartford,138508.53,1977,US,77,PortfolioSolutions,N
Hartford,138508.53,1977,US,77,FXServices,N
Hartford,138508.53,1977,US,77,FinancingCollateralServices,N
Nuveen,137737.15,1976,EUR,131,InvestmentServicing,Y
Nuveen,137737.15,1976,EUR,131,Custody,Y
Nuveen,137737.15,1976,EUR,131,ETFSolutionsCost,N
Nuveen,137737.15,1976,EUR,131,FundAccounting,Y
Nuveen,137737.15,1976,EUR,131,RiskAnalytics,N
Nuveen,137737.15,1976,EUR,131,MultiAssetClassAnalytics,Y
Nuveen,137737.15,1976,EUR,131,DigitalExperience,N
Nuveen,137737.15,1976,EUR,131,PortfolioSolutions,N
Nuveen,137737.15,1976,EUR,131,FXServices,N
Nuveen,137737.15,1976,EUR,131,FinancingCollateralServices,N
Eaton Vance,136497.9,1931,EUR,143,InvestmentServicing,Y
Eaton Vance,136497.9,1931,EUR,143,Custody,Y
Eaton Vance,136497.9,1931,EUR,143,ETFSolutionsCost,N
Eaton Vance,136497.9,1931,EUR,143,FundAccounting,Y
Eaton Vance,136497.9,1931,EUR,143,RiskAnalytics,N
Eaton Vance,136497.9,1931,EUR,143,MultiAssetClassAnalytics,Y
Eaton Vance,136497.9,1931,EUR,143,DigitalExperience,N
Eaton Vance,136497.9,1931,EUR,143,PortfolioSolutions,N
Eaton Vance,136497.9,1931,EUR,143,FXServices,N
Eaton Vance,136497.9,1931,EUR,143,FinancingCollateralServices,N
Bridge Builder,122755.88,2013,EUR,8,InvestmentServicing,Y
Bridge Builder,122755.88,2013,EUR,8,Custody,N
Bridge Builder,122755.88,2013,EUR,8,ETFSolutionsCost,N
Bridge Builder,122755.88,2013,EUR,8,FundAccounting,Y
Bridge Builder,122755.88,2013,EUR,8,RiskAnalytics,N
Bridge Builder,122755.88,2013,EUR,8,MultiAssetClassAnalytics,Y
Bridge Builder,122755.88,2013,EUR,8,DigitalExperience,Y
Bridge Builder,122755.88,2013,EUR,8,PortfolioSolutions,N
Bridge Builder,122755.88,2013,EUR,8,FXServices,N
Bridge Builder,122755.88,2013,EUR,8,FinancingCollateralServices,Y
Victory Capital,120036.11,1971,EUR,110,InvestmentServicing,Y
Victory Capital,120036.11,1971,EUR,110,Custody,N
Victory Capital,120036.11,1971,EUR,110,ETFSolutionsCost,N
Victory Capital,120036.11,1971,EUR,110,FundAccounting,Y
Victory Capital,120036.11,1971,EUR,110,RiskAnalytics,N
Victory Capital,120036.11,1971,EUR,110,MultiAssetClassAnalytics,Y
Victory Capital,120036.11,1971,EUR,110,DigitalExperience,Y
Victory Capital,120036.11,1971,EUR,110,PortfolioSolutions,N
Victory Capital,120036.11,1971,EUR,110,FXServices,N
Victory Capital,120036.11,1971,EUR,110,FinancingCollateralServices,Y
First American,119664.7,1990,US,6,InvestmentServicing,Y
First American,119664.7,1990,US,6,Custody,N
First American,119664.7,1990,US,6,ETFSolutionsCost,N
First American,119664.7,1990,US,6,FundAccounting,Y
First American,119664.7,1990,US,6,RiskAnalytics,N
First American,119664.7,1990,US,6,MultiAssetClassAnalytics,Y
First American,119664.7,1990,US,6,DigitalExperience,Y
First American,119664.7,1990,US,6,PortfolioSolutions,N
First American,119664.7,1990,US,6,FXServices,N
First American,119664.7,1990,US,6,FinancingCollateralServices,Y
AllianceBernstein,118982.07,1932,EUR,72,InvestmentServicing,Y
AllianceBernstein,118982.07,1932,EUR,72,Custody,N
AllianceBernstein,118982.07,1932,EUR,72,ETFSolutionsCost,N
AllianceBernstein,118982.07,1932,EUR,72,FundAccounting,Y
AllianceBernstein,118982.07,1932,EUR,72,RiskAnalytics,N
AllianceBernstein,118982.07,1932,EUR,72,MultiAssetClassAnalytics,Y
AllianceBernstein,118982.07,1932,EUR,72,DigitalExperience,Y
AllianceBernstein,118982.07,1932,EUR,72,PortfolioSolutions,N
AllianceBernstein,118982.07,1932,EUR,72,FXServices,N
AllianceBernstein,118982.07,1932,EUR,72,FinancingCollateralServices,Y
SEI,111830.98,1985,EUR,88,InvestmentServicing,Y
SEI,111830.98,1985,EUR,88,Custody,N
SEI,111830.98,1985,EUR,88,ETFSolutionsCost,N
SEI,111830.98,1985,EUR,88,FundAccounting,Y
SEI,111830.98,1985,EUR,88,RiskAnalytics,N
SEI,111830.98,1985,EUR,88,MultiAssetClassAnalytics,Y
SEI,111830.98,1985,EUR,88,DigitalExperience,Y
SEI,111830.98,1985,EUR,88,PortfolioSolutions,N
SEI,111830.98,1985,EUR,88,FXServices,N
SEI,111830.98,1985,EUR,88,FinancingCollateralServices,Y
Delaware Funds by Macquarie,103755.19,1940,EUR,96,InvestmentServicing,Y
Delaware Funds by Macquarie,103755.19,1940,EUR,96,Custody,N
Delaware Funds by Macquarie,103755.19,1940,EUR,96,ETFSolutionsCost,N
Delaware Funds by Macquarie,103755.19,1940,EUR,96,FundAccounting,Y
Delaware Funds by Macquarie,103755.19,1940,EUR,96,RiskAnalytics,N
Delaware Funds by Macquarie,103755.19,1940,EUR,96,MultiAssetClassAnalytics,Y
Delaware Funds by Macquarie,103755.19,1940,EUR,96,DigitalExperience,Y
Delaware Funds by Macquarie,103755.19,1940,EUR,96,PortfolioSolutions,N
Delaware Funds by Macquarie,103755.19,1940,EUR,96,FXServices,N
Delaware Funds by Macquarie,103755.19,1940,EUR,96,FinancingCollateralServices,Y
Voya,97768.17,1935,EUR,133,InvestmentServicing,Y
Voya,97768.17,1935,EUR,133,Custody,N
Voya,97768.17,1935,EUR,133,ETFSolutionsCost,N
Voya,97768.17,1935,EUR,133,FundAccounting,Y
Voya,97768.17,1935,EUR,133,RiskAnalytics,N
Voya,97768.17,1935,EUR,133,MultiAssetClassAnalytics,Y
Voya,97768.17,1935,EUR,133,DigitalExperience,Y
Voya,97768.17,1935,EUR,133,PortfolioSolutions,N
Voya,97768.17,1935,EUR,133,FXServices,N
