ClientName,NetAssets,EstablishedTime,Region,NumberOfFunds,InvestmentServicingCost,CustodyCost,AssetUnderManagement,ETFSolutionsCost,FundAccountingCost,RiskAnalyticsCost,MultiAssetClassAnalyticsCost,DigitalExperienceCost,PortfolioSolutionsCost,FXServicesCost,FinancingCollateralServicesCost,HasCollateral,Horizon,CustomerValue
Franklin Templeton,521531.67,1948,US,287,2049.29927,0,0,0,2049.29927,0,0,683.0997565,1366.199513,0,2049.29927,Y,Long,8197.197078
Goldman Sachs,521061.98,1988,EUR,128,2199.699251,0,0,0,2199.699251,0,0,733.2330836,1466.466167,0,2199.699251,Y,Short,8798.797003
Dimensional Fund Advisors,489438.29,1981,EUR,127,2204.754734,0,0,0,2204.754734,0,0,734.9182445,1469.836489,0,2204.754734,Y,Short,8819.018934
PIMCO,419931.88,1987,EUR,135,1346.107916,0,0,0,1346.107916,0,0,448.7026388,897.4052775,0,1346.107916,N,Short,5384.431665
MFS,388230.02,1924,US,99,1865.784844,0,0,0,1865.784844,0,0,621.9282814,1243.856563,0,1865.784844,N,Short,7463.139377
Federated,352719.34,1968,EUR,89,641.7169558,0,0,0,641.7169558,0,427.8113038,213.9056519,0,0,641.7169558,N,Short,2566.867823
Morgan Stanley,332468.13,1981,EUR,79,986.310401,0,0,0,986.310401,0,657.5402673,328.7701337,0,0,986.310401,N,Long,3945.241604
Charles Schwab,299000.81,1990,EUR,72,1427.583279,0,0,0,1427.583279,0,951.7221858,475.8610929,0,0,1427.583279,N,Long,5710.333115
Schwab ETFs,257114.89,2009,US,27,2040.654263,0,0,0,2040.654263,0,1360.436176,680.2180878,0,0,2040.654263,N,Long,8162.617053
Allspring Global Investments,247478.97,1968,EUR,106,718.0128183,0,0,0,718.0128183,0,478.6752122,239.3376061,0,0,718.0128183,N,Long,2872.051273
Dreyfus,233957.7,1982,EUR,14,760.4478903,0,0,0,760.4478903,0,506.9652602,253.4826301,0,0,760.4478903,N,Short,3041.791561
Dodge & Cox,228930.29,1931,EUR,7,6031.876005,0,0,0,6031.876005,0,4021.25067,2010.625335,0,0,6031.876005,N,Long,24127.50402
John Hancock,226276.98,1971,EUR,157,612.547749,0,0,0,612.547749,0,408.365166,204.182583,0,0,612.547749,N,Short,2450.190996
Northern Funds,213076.96,1985,US,44,0,0,0,0,0,398.6846483,398.6846483,199.3423242,398.6846483,398.6846483,598.0269725,N,Long,2392.10789
Columbia Threadneedle,209497.57,1929,EUR,120,0,0,0,0,0,967.0109963,967.0109963,483.5054982,967.0109963,967.0109963,1450.516495,N,Short,5802.065978
Principal Funds,188905.71,1939,US,93,0,0,0,0,0,657.7286808,657.7286808,328.8643404,657.7286808,657.7286808,986.5930213,N,Short,3946.372085
Lord Abbett,171678.87,1950,EUR,54,0,0,0,0,0,0,891.1527627,445.5763813,891.1527627,891.1527627,1336.729144,N,Short,5346.916576
Janus,161318.81,1985,US,59,0,0,0,0,0,0,2150.42669,1075.213345,2150.42669,2150.42669,3225.640035,N,Short,12902.56014
American Century Investments,158423.13,1971,EUR,112,0,0,0,0,0,0,539.2267447,269.6133723,539.2267447,539.2267447,808.840117,Y,Short,3235.360468
First Trust,145625.08,2003,EUR,215,0,0,0,0,0,0,409.0972567,204.5486283,409.0972567,409.0972567,613.645885,Y,Short,2454.58354
Prudential,145539.41,1976,EUR,90,0,0,0,0,0,0,3162.576018,1581.288009,3162.576018,3162.576018,4743.864028,Y,Long,18975.45611
Natixis Investment Managers,141245.94,1931,EUR,74,1178.830336,1571.773781,112996.752,0,1178.830336,0,785.8868907,0,0,0,0,N,NA,4715.321344
Hartford,138508.53,1977,US,77,1254.721308,1672.961744,110806.824,0,1254.721308,0,836.4808722,0,0,0,0,N,NA,5018.885233
Nuveen,137737.15,1976,EUR,131,1233.229086,1644.305448,110189.72,0,1233.229086,0,822.1527242,0,0,0,0,N,NA,4932.916345
Eaton Vance,136497.9,1931,EUR,143,1436.057436,1914.743248,109198.32,0,1436.057436,0,957.3716242,0,0,0,0,N,NA,5744.229745
Bridge Builder,122755.88,2013,EUR,8,3472.933918,0,0,0,3472.933918,0,2315.289278,1157.644639,0,0,3472.933918,N,Long,13891.73567
Victory Capital,120036.11,1971,EUR,110,1845.244179,0,0,0,1845.244179,0,1230.162786,615.0813931,0,0,1845.244179,N,Long,7380.976717
First American,119664.7,1990,US,6,772.508526,0,0,0,772.508526,0,515.005684,257.502842,0,0,772.508526,N,Short,3090.034104
AllianceBernstein,118982.07,1932,EUR,72,630.4082738,0,0,0,630.4082738,0,420.2721825,210.1360913,0,0,630.4082738,N,Long,2521.633095
SEI,111830.98,1985,EUR,88,663.0154463,0,0,0,663.0154463,0,442.0102975,221.0051488,0,0,663.0154463,N,Short,2652.061785
Delaware Funds by Macquarie,103755.19,1940,EUR,96,692.7612578,0,0,0,692.7612578,0,461.8408385,230.9204193,0,0,692.7612578,N,Short,2771.045031
Voya,97768.17,1935,EUR,133,984.7515925,0,0,0,984.7515925,0,656.5010617,328.2505308,0,0,984.7515925,N,Short,3939.00637
Baird,91631.96,2000,US,15,3057.96992,0,0,0,3057.96992,0,2038.646613,1019.323307,0,0,3057.96992,N,Long,12231.87968
Putnam,81263.6,1937,EUR,77,610.9162915,0,0,0,610.9162915,0,407.2775277,203.6387638,0,0,610.9162915,N,Short,2443.665166
Metropolitan West Funds,80342.11,1997,EUR,14,3204.775723,0,0,0,3204.775723,0,2136.517148,1068.258574,0,0,3204.775723,N,Short,12819.10289
Artisan Partners Funds Inc,79021.38,1995,US,16,0,1489.503514,63217.104,0,1117.127636,0,744.751757,372.3758785,744.751757,0,0,N,NA,4468.510542
Artisan,79021.38,1995,EUR,16,0,1838.114673,63217.104,0,1378.586005,0,919.0573363,459.5286682,919.0573363,0,0,N,NA,5514.344018
USAA Mutual Funds,78825.08,1971,EUR,47,0,1114.625109,63060.064,0,835.9688315,0,557.3125543,278.6562772,557.3125543,0,0,N,NA,3343.875326
BNY Mellon,72105.99,1951,US,107,0,764.826309,57684.792,0,573.6197318,0,382.4131545,191.2065773,382.4131545,0,0,N,NA,2294.478927
DoubleLine,69188.14,2010,EUR,22,0,12235.8088,55350.512,0,9176.856598,0,6117.904398,3058.952199,6117.904398,0,0,N,NA,36707.42639
New York Life Investments,68189.6,1971,EUR,45,0,11157.78315,54551.68,0,8368.337365,0,5578.891577,2789.445788,5578.891577,0,0,N,NA,33473.34946
First Eagle,67326.89,1970,EUR,9,0,2661.143903,53861.512,0,1995.857927,0,1330.571952,665.2859758,1330.571952,0,0,N,NA,7983.431709
DWS,65295.21,1928,US,58,0,1618.248555,52236.168,0,1213.686417,0,809.1242777,404.5621388,809.1242777,0,0,N,NA,4854.745666
Principal Financial Group Inc,64276.53,1939,EUR,18,0,1431.33244,51421.224,0,1073.49933,0,715.6662198,357.8331099,715.6662198,0,0,N,NA,4293.997319
Virtus,63791.28,1940,EUR,115,0,2388.131848,51033.024,0,1791.098886,0,1194.065924,597.0329619,1194.065924,0,0,N,NA,7164.395543
Artisan Partners Limited Partnership,63686.39,1995,EUR,21,0,2539.8386,50949.112,0,1904.87895,0,1269.9193,634.95965,1269.9193,0,0,N,NA,7619.5158
VanEck,63379.04,1956,US,71,0,1319.334274,50703.232,0,989.5007058,0,659.6671372,329.8335686,659.6671372,0,0,N,NA,3958.002823
ProShares,60523.62,2006,EUR,135,1124.873313,0,0,0,0,0,749.915542,374.957771,749.915542,374.957771,1124.873313,Y,Short,4499.493252
Allspring,60170.35,1968,EUR,59,1014.891854,0,0,0,0,0,676.594569,338.2972845,676.594569,338.2972845,1014.891854,Y,Short,4059.567414
Six Circles,54898.92,2018,US,9,1114.528342,0,0,0,0,0,743.0188948,371.5094474,743.0188948,371.5094474,1114.528342,Y,Long,4458.113369
WisdomTree,49679.06,2006,EUR,78,2027.583285,0,0,0,0,0,1351.72219,675.8610949,1351.72219,675.8610949,2027.583285,Y,Short,8110.333139
Cohen & Steers,47949.54,1991,EUR,19,834.9412183,0,0,0,0,0,556.6274788,278.3137394,556.6274788,278.3137394,834.9412183,Y,Short,3339.764873
Guggenheim,46547.99,1944,EUR,87,6065.254443,0,0,0,0,0,4043.502962,2021.751481,4043.502962,2021.751481,6065.254443,Y,Long,24261.01777
Neuberger Berman,45880.91,1950,US,42,1653.493413,0,0,0,0,0,1102.328942,551.1644711,1102.328942,551.1644711,1653.493413,Y,Short,6613.973653
HSBC,45048.99,1990,EUR,3,732.6733858,0,0,0,0,0,488.4489238,244.2244619,488.4489238,244.2244619,732.6733858,Y,Short,2930.693543
Baron Capital Group,44136.73,1987,US,17,2168.048568,0,0,0,0,0,1445.365712,722.682856,1445.365712,722.682856,2168.048568,Y,Short,8672.194272
Amundi US,43755.61,1928,EUR,33,2909.667315,0,0,0,0,0,1939.77821,969.889105,1939.77821,969.889105,2909.667315,Y,Short,11638.66926
UBS Asset Management,43500.45,1972,EUR,47,1711.537581,0,0,0,0,0,1141.025054,570.5125269,1141.025054,570.5125269,1711.537581,Y,Short,6846.150323
"Wilmington Trust, N.A",42493.02,2006,US,103,2931.94412,0,0,0,0,0,1954.629413,977.3147067,1954.629413,977.3147067,2931.94412,Y,Short,11727.77648
Old Westbury,41511.13,1993,EUR,8,0,7547.944927,33208.904,0,0,0,0,0,3773.972463,1886.986232,5660.958695,Y,Long,22643.83478
Parnassus,40339.74,1984,EUR,5,0,871.491435,32271.792,0,0,0,0,0,435.7457175,217.8728588,653.6185763,Y,Short,2614.474305
Global X Funds,40149.46,2009,US,93,0,817.2508983,32119.568,0,0,0,0,0,408.6254492,204.3127246,612.9381738,Y,Short,2451.752695
Russell,40044.93,1981,EUR,39,0,2260.423401,32035.944,0,0,0,0,0,1130.211701,565.1058503,1695.317551,Y,Short,6781.270203
Transamerica,39937.09,1985,US,55,0,1658.26718,31949.672,0,0,0,0,0,829.1335898,414.5667949,1243.700385,Y,Long,4974.801539
Royce,39794.21,1972,EUR,45,0,2863.868311,31835.368,0,0,0,0,0,1431.934156,715.9670778,2147.901233,Y,Long,8591.604933
Harbor,39213.5,1987,EUR,27,0,1864.053797,31370.8,0,0,0,0,0,932.0268987,466.0134493,1398.040348,Y,Long,5592.161392
Thornburg,38760.94,1984,US,20,0,2669.824278,31008.752,0,0,0,0,0,1334.912139,667.4560694,2002.368208,Y,Short,8009.472833
MassMutual,37238.75,1994,EUR,73,0,3772.696607,29791,0,0,0,0,0,1886.348303,943.1741517,2829.522455,N,Long,11318.08982
"Baron Capital Group, Inc.",36457.43,1987,EUR,19,0,19388.85117,29165.944,0,0,0,0,0,9694.425585,4847.212793,14541.63838,N,Short,58166.55351
GMO,35936.18,1985,EUR,29,0,2675.076453,28748.944,0,0,0,0,0,1337.538226,668.7691132,2006.30734,N,Long,8025.229358
Great-West Funds,35746.92,1982,US,45,0,1926.727399,28597.536,0,0,0,0,0,963.3636995,481.6818498,1445.045549,N,Long,5780.182197
Edward Jones,33656.65,1980,EUR,1,0,1372.846371,26925.32,0,0,0,0,0,686.4231855,343.2115928,1029.634778,N,Long,4118.539113
VALIC,32619.46,1983,US,36,0,841.0233833,26095.568,0,0,0,0,0,420.5116917,210.2558458,630.7675375,N,Long,2523.07015
Thrivent,29812.98,1972,EUR,27,0,2184.738799,23850.384,0,0,0,0,0,1092.369399,546.1846997,1638.554099,N,Long,6554.216396
Calamos,26734.41,1985,EUR,20,0,2567.799098,21387.528,0,1925.849324,0,1283.899549,0,0,0,1925.849324,N,Short,7703.397294
Touchstone,26697.32,1934,EUR,32,0,1975.57646,21357.856,0,1481.682345,0,987.7882298,0,0,0,1481.682345,N,Short,5926.729379
Grayscale,26531.87,2013,EUR,8,0,894.4902257,21225.496,0,670.8676693,0,447.2451128,0,0,0,670.8676693,N,Short,2683.470677
Harding Loevner,25912.25,1994,EUR,10,0,898.3941397,20729.8,0,673.7956048,0,449.1970698,0,0,0,673.7956048,N,Short,2695.182419
GuideStone Funds,25584.41,2001,US,24,0,2015.675053,20467.528,0,1511.75629,0,1007.837527,0,0,0,1511.75629,N,Short,6047.02516
Direxion Funds,25187.42,1999,EUR,94,0,4390.337607,20149.936,0,3292.753205,0,2195.168803,0,0,0,3292.753205,N,Short,13171.01282
American Beacon,23335.82,1987,EUR,29,0,3552.293983,18668.656,0,2664.220488,0,1776.146992,0,0,0,2664.220488,N,Short,10656.88195
AMG Funds,23325.17,1984,EUR,42,0,842.5512653,18660.136,0,631.913449,0,421.2756327,0,0,0,631.913449,N,Short,2527.653796
Flexshares Trust,23049.75,2011,US,32,0,890.6985853,18439.8,0,668.023939,0,445.3492927,0,0,0,668.023939,N,Short,2672.095756
PRIMECAP Odyssey Funds,22042.08,2004,EUR,3,0,1771.098012,17633.664,0,1328.323509,0,885.5490058,0,0,0,1328.323509,N,Short,5313.294035
Lazard,21908.81,1991,EUR,31,0,6982.06417,17527.048,0,5236.548128,0,3491.032085,0,0,0,5236.548128,N,Long,20946.19251
Edgewood,21538.88,2006,EUR,1,0,2791.784643,17231.104,0,2093.838482,0,1395.892322,0,0,0,2093.838482,N,Long,8375.353929
FPA,21202.62,1984,US,7,0,1600.553834,16962.096,0,1200.415376,0,800.2769172,0,0,0,1200.415376,N,Long,4801.661503
Mutual of America,20032.93,1984,EUR,26,0,1915.314447,16026.344,0,1436.485835,0,957.6572233,0,0,0,1436.485835,N,Long,5745.94334
Nationwide,19845.24,1933,EUR,51,0,2022.038656,15876.192,0,1516.528992,0,1011.019328,0,0,0,1516.528992,N,Long,6066.115969
KP Funds,19357.86,2014,EUR,13,2000.577083,0,0,1333.718056,0,0,0,0,1333.718056,3334.295139,0,N,NA,8002.308333
BBH,18983.02,2000,US,8,598.4788423,0,0,398.9858948,0,0,0,0,398.9858948,997.4647371,0,N,NA,2393.915369
Xtrackers,18725.16,2011,EUR,32,1190.704475,0,0,793.8029833,0,0,0,0,793.8029833,1984.507458,0,N,NA,4762.8179
Alger,18549.94,1969,US,29,1082.596505,0,0,721.7310033,0,0,0,0,721.7310033,1804.327508,0,N,NA,4330.38602
Brown Advisory Funds,18475.68,1991,EUR,19,2350.682442,0,0,1567.121628,0,0,0,0,1567.121628,3917.80407,0,N,NA,9402.729769
Diamond Hill Funds,18125.21,2000,EUR,10,1741.673632,0,0,1161.115755,0,0,0,0,1161.115755,2902.789386,0,N,NA,6966.694527
Gabelli,16928.97,1985,EUR,39,1923.516073,0,0,1282.344049,0,0,0,0,1282.344049,3205.860122,0,N,NA,7694.064293
Carillon Family of Funds,16602.72,1985,US,11,2179.390287,0,0,1452.926858,0,0,0,0,1452.926858,3632.317145,0,N,NA,8717.561149
ALPS,16129.03,2007,EUR,34,1482.187132,0,0,988.1247547,0,0,0,0,988.1247547,2470.311887,0,N,NA,5928.748528
ARK ETF Trust,15774.79,2014,EUR,9,613.244322,0,0,408.829548,0,0,0,0,408.829548,1022.07387,0,N,NA,2452.977288
Matthews Asia Funds,15384.3,1994,EUR,16,1675.392914,0,0,1116.92861,0,0,0,0,1116.92861,2792.321524,0,N,NA,6701.571657
Pacer,14979.6,2015,EUR,45,1889.060085,0,0,1259.37339,0,0,0,0,1259.37339,3148.433475,0,N,NA,7556.24034
AQR Funds,14742.13,2009,US,23,2123.1747,0,0,1415.4498,0,0,0,0,1415.4498,3538.6245,0,N,NA,8492.6988
Destinations Funds,14431.98,2017,EUR,10,1928.373512,0,0,1285.582341,0,0,0,0,1285.582341,3213.955853,0,N,NA,7713.494046
Akre,14222.96,2009,EUR,1,6021.1338,0,0,4014.0892,0,0,0,0,4014.0892,10035.223,0,N,NA,24084.5352
Baillie Gifford Funds,13526.23,2003,EUR,18,1822.517442,0,0,1215.011628,0,0,0,0,1215.011628,3037.52907,0,N,NA,7290.069769
Wasatch,13211.3,1986,EUR,19,1193.235962,0,0,795.4906413,0,0,0,0,795.4906413,1988.726603,0,N,NA,4772.943848
USAA,13170.48,1981,US,5,1701.622849,0,0,1134.415233,0,0,0,0,1134.415233,2836.038081,0,N,NA,6806.491395
TCW,12350.8,1986,EUR,18,617.4453335,0,0,411.6302223,0,0,0,0,411.6302223,1029.075556,0,N,NA,2469.781334
Avantis Investors,12138.85,2019,EUR,24,775.9807603,0,0,517.3205068,0,0,0,0,517.3205068,1293.301267,0,N,NA,3103.923041
GQG Partners Inc,12124.03,2016,EUR,6,745.4688938,0,0,496.9792625,0,0,0,0,496.9792625,1242.448156,0,N,NA,2981.875575
Mercer Funds,11841.52,2005,US,7,2225.684399,0,0,1483.789599,0,0,0,0,1483.789599,3709.473998,0,N,NA,8902.737595
Wilmington Funds,11782.2,1988,EUR,10,1374.861806,0,0,916.5745372,0,0,0,0,916.5745372,2291.436343,0,N,NA,5499.447223
William Blair,11457.97,1946,EUR,19,3755.899645,0,0,2503.933097,0,0,0,0,2503.933097,6259.832742,0,N,NA,15023.59858
JOHCM Funds,11206.97,1992,US,10,627.2769688,0,0,418.1846458,0,0,0,0,418.1846458,1045.461615,0,N,NA,2509.107875
KraneShares,11082.71,2013,EUR,29,10407.24937,0,0,0,0,10407.24937,0,0,0,10407.24937,0,N,NA,31221.7481
City National Rochdale,10734.89,1999,EUR,11,1044.501144,0,0,0,0,1044.501144,0,0,0,1044.501144,0,N,NA,3133.503432
Polen Capital,10639.11,2010,US,8,1279.150621,0,0,0,0,1279.150621,0,0,0,1279.150621,0,N,NA,3837.451863
Pacific Funds,10518.56,2003,EUR,15,3930.16539,0,0,0,0,3930.16539,0,0,0,3930.16539,0,N,NA,11790.49617
Paydenfunds,10343.76,1992,EUR,19,2612.68944,0,0,0,0,2612.68944,0,0,0,2612.68944,0,N,NA,7838.068321
Pax World,10337.7,1971,EUR,11,1435.269448,0,0,0,0,1435.269448,0,0,0,1435.269448,0,N,NA,4305.808345
Jensen,10232.09,1992,US,3,1991.325635,0,0,0,0,1991.325635,0,0,0,1991.325635,0,N,NA,5973.976904
GQG Partners,10174.14,2016,EUR,6,1890.147465,0,0,0,0,1890.147465,0,0,0,1890.147465,0,N,NA,5670.442396
Davis Funds,10043.86,1969,EUR,12,1577.249782,0,0,0,0,1577.249782,0,0,0,1577.249782,0,N,NA,4731.749346
Catholic Responsible Investments Funds,9959.5,2021,EUR,13,2675.45988,0,0,0,0,2675.45988,0,0,0,2675.45988,0,N,NA,8026.379641
State Farm,9805.73,1968,US,4,1340.987843,0,0,0,0,1340.987843,0,0,0,1340.987843,0,N,NA,4022.963529
Credit Suisse,9266.87,1987,EUR,23,3206.103622,0,0,0,0,3206.103622,0,0,0,3206.103622,0,N,NA,9618.310865
First Investors,9194.45,1970,EUR,22,758.2584837,0,0,0,0,758.2584837,0,0,0,758.2584837,0,N,NA,2274.775451
RBB Funds,8850.36,2007,US,5,3184.308974,0,0,0,0,3184.308974,0,0,0,3184.308974,0,N,NA,9552.926922
Royce Investment Partners,8655.12,1972,EUR,13,3462.851077,0,0,0,0,3462.851077,0,0,0,3462.851077,0,N,NA,10388.55323
Navigator Funds,8646.01,2010,EUR,5,823.3737407,0,0,0,0,823.3737407,0,0,0,823.3737407,0,N,NA,2470.121222
Champlain Funds,8557.65,2004,EUR,3,1873.022836,0,0,0,0,1873.022836,0,0,0,1873.022836,0,N,NA,5619.068508
Causeway,8299.04,2001,US,6,3015.706403,0,0,0,0,3015.706403,0,0,0,3015.706403,0,N,NA,9047.119209
pacific funds series trust,7949.74,2003,EUR,16,2230.714556,0,0,0,0,2230.714556,0,0,0,2230.714556,0,N,NA,6692.143668
Aberdeen Standard Investments,7867.12,2009,EUR,8,1243.834861,0,0,0,0,1243.834861,0,0,0,1243.834861,0,N,NA,3731.504584
PT Asset Management,7756.92,2010,EUR,3,1220.256753,0,0,0,0,1220.256753,0,0,0,1220.256753,0,N,NA,3660.770258
Angel Oak,7513.43,2009,EUR,7,2642.943084,0,0,0,0,2642.943084,0,0,0,2642.943084,0,N,NA,7928.829252
Innovator ETFs,7327.84,2015,US,87,1670.583859,0,0,0,0,1670.583859,0,0,0,1670.583859,0,N,NA,5011.751577
"Tweedy, Browne",7157.44,1993,APAC,4,2662.752764,0,0,0,0,2662.752764,0,0,0,2662.752764,0,N,NA,7988.258292
FMI Funds,7059.02,1981,APAC,4,1295.152134,0,0,0,0,1295.152134,0,0,0,1295.152134,0,N,NA,3885.456401
Glenmede,6827.01,1988,US,18,0,886.445994,6144.309,886.445994,0,0,0,0,886.445994,0,0,N,NA,2659.337982
Aberdeen,6773.84,1986,APAC,20,0,2854.922742,6096.456,2854.922742,0,0,0,0,2854.922742,0,0,N,NA,8564.768226
Performance Trust Asset Management,6683.58,2010,APAC,3,0,1628.387504,6015.222,1628.387504,0,0,0,0,1628.387504,0,0,N,NA,4885.162511
Brown Capital Management,6645.72,1992,APAC,4,0,3251.102369,5981.148,3251.102369,0,0,0,0,3251.102369,0,0,N,NA,9753.307106
Legg Mason,6625.16,1973,US,19,0,982.0512323,5962.644,982.0512323,0,0,0,0,982.0512323,0,0,N,NA,2946.153697
Eventide Funds,6200.12,2008,APAC,7,0,860.370315,5580.108,860.370315,0,0,0,0,860.370315,0,0,N,NA,2581.110945
Mairs & Power,6182.82,1958,APAC,4,0,1172.461921,5564.538,1172.461921,0,0,0,0,1172.461921,0,0,N,NA,3517.385764
Manning & Napier,6123.15,1993,APAC,15,0,3247.783371,5510.835,3247.783371,0,0,0,0,3247.783371,0,0,N,NA,9743.350113
Fuller & Thaler,6060.23,2011,US,6,0,1291.215682,5454.207,1291.215682,0,0,0,0,1291.215682,0,0,N,NA,3873.647046
Sterling Capital Funds,5781.41,1972,APAC,22,0,2549.760663,5203.269,2549.760663,0,0,0,0,2549.760663,0,0,N,NA,7649.28199
Osterweis,5717.38,1993,APAC,5,0,762.5323067,5145.642,762.5323067,0,0,0,0,762.5323067,0,0,N,NA,2287.59692
Catalyst Mutual Funds,5693.27,2008,US,20,0,1491.808197,5123.943,1491.808197,0,0,0,0,1491.808197,0,0,N,NA,4475.424592
Pear Tree Funds,5615.97,1985,APAC,7,0,2904.974045,5054.373,2904.974045,0,0,0,0,2904.974045,0,0,N,NA,8714.922135
Newton Investment Management (North America) Limited,5614.12,1988,APAC,2,0,749.483211,5052.708,749.483211,0,0,0,0,749.483211,0,0,N,NA,2248.449633
"PT Asset Management, LLC (PTAM)",5356,2010,US,2,0,2472.065774,4820.4,2472.065774,0,0,0,0,2472.065774,0,0,N,NA,7416.197322
Capital Group,5340.54,1986,APAC,13,0,2590.386324,4806.486,2590.386324,0,0,0,0,2590.386324,0,0,N,NA,7771.158973
Sierra Trust,5336.92,2007,APAC,5,0,2322.780633,4803.228,2322.780633,0,0,0,0,2322.780633,0,0,N,NA,6968.3419
Ariel Investments,5266.5,1986,APAC,5,0,1416.760875,4739.85,1416.760875,0,0,0,0,1416.760875,0,0,N,NA,4250.282624
Nicholas,5214.17,1969,US,5,0,6592.188847,4692.753,6592.188847,0,0,0,0,6592.188847,0,0,N,NA,19776.56654
Blackstone,5011.9,2014,APAC,1,0,7114.488663,4510.71,7114.488663,0,0,0,0,7114.488663,0,0,N,NA,21343.46599
Amana,4990.87,1986,APAC,4,0,804.3799047,4491.783,804.3799047,0,0,0,0,804.3799047,0,0,N,NA,2413.139714
USCF Investments,4793.51,2006,US,11,0,5121.282387,4314.159,5121.282387,0,0,0,0,5121.282387,0,0,N,NA,15363.84716
Morningstar,4753.17,2018,APAC,9,0,2818.987296,4277.853,2818.987296,0,0,0,0,2818.987296,0,0,N,NA,8456.961887
ETFMG,4731.92,2012,APAC,21,0,729.8808407,4258.728,729.8808407,0,0,0,0,729.8808407,0,0,N,NA,2189.642522
"Tortoise Capital Advisors, LLC",4699.86,2004,APAC,8,0,0,0,0,5780.182197,0,0,0,0,0,0,N,NA,5780.182197
Virtus Funds,4671.71,1989,US,4,0,0,0,0,4639.981638,0,0,0,0,0,0,N,NA,4639.981638
Westchester Capital,4613.3,1989,US,3,0,0,0,0,4465.335703,0,0,0,0,0,0,N,NA,4465.335703
Grandeur Peak Funds,4394.64,2011,US,9,0,0,0,0,5968.118877,0,0,0,0,0,0,N,NA,5968.118877
Longleaf Partners,4373.1,1987,US,4,0,0,0,0,5097.763337,0,0,0,0,0,0,N,NA,5097.763337
Laudus Funds,4333.31,1997,US,2,0,0,0,0,4076.634665,0,0,0,0,0,0,N,NA,4076.634665
Duff & Phelps,4213.58,1987,US,3,0,0,0,0,12252.60179,0,0,0,0,0,0,N,NA,12252.60179
BMO Funds,4194.89,1992,US,3,0,0,0,0,16936.27147,0,0,0,0,0,0,N,NA,16936.27147
Aspiriant,4190.53,2013,US,4,0,0,0,0,4892.435461,0,0,0,0,0,0,N,NA,4892.435461
IndexIQ,4149.59,2009,US,28,0,0,0,0,9942.304791,0,0,0,0,0,0,N,NA,9942.304791
Nuance Investments,4109.29,2011,US,3,0,0,0,0,3735.838129,0,0,0,0,0,0,N,NA,3735.838129
AIG,4082.56,1998,US,1,0,0,0,0,13117.52215,0,0,0,0,0,0,N,NA,13117.52215
SA Funds,4014.5,1999,US,10,0,0,0,0,4574.524094,0,0,0,0,0,0,N,NA,4574.524094
Smead Funds,4005.33,2008,US,1,0,0,0,0,5470.060561,0,0,0,0,0,0,N,NA,5470.060561
Buffalo,3987.76,1994,EUR,10,0,0,0,0,2978.84601,0,0,0,0,0,0,N,NA,2978.84601
Allianz Global Investors,3935.49,2003,EUR,6,0,0,0,0,6410.967544,0,0,0,0,0,0,N,NA,6410.967544
Thompson IM Funds Inc,3934.46,1992,EUR,3,0,0,0,0,4479.023088,0,0,0,0,0,0,N,NA,4479.023088
abrdn Inc.,3883.4,1985,EUR,10,0,0,0,0,2383.731879,0,0,0,0,0,0,N,NA,2383.731879
LoCorr Funds,3882.79,2011,EUR,5,0,0,0,0,2764.493659,0,0,0,0,0,0,N,NA,2764.493659
